Designator,Mid X,Mid Y,Rotation,Layer
A1,159.8,-63.6525,0.0,top
C10,115.21,-105.7174,0.0,top
C11,120.81,-105.7174,180.0,top
C12,118.01,-93.9174,90.0,top
C13,129.67,-93.7174,90.0,top
C14,117.86,-50.2,90.0,top
C15,129.6,-50.2,90.0,top
C16,120.66,-49.2,180.0,top
C17,115.06,-49.2,0.0,top
C18,115.06,-61.8,0.0,top
C19,120.66,-61.8,180.0,top
C3,114.425,-76.8,0.0,top
C8,120.835,-93.1174,180.0,top
C9,115.21,-93.1174,0.0,top
H1,105.0,-30.0,0.0,top
H2,170.0,-30.0,0.0,top
H3,170.0,-120.0,0.0,top
H4,105.0,-120.0,0.0,top
J2,126.8,-46.46,180.0,top
J3,140.0,-99.0,0.0,top
J4,170.8,-99.0,0.0,top
J5,140.0,-107.0,0.0,top
J6,170.8,-107.0,0.0,top
J7,169.2,-92.4,270.0,top
MK1,107.5325,-40.0,90.0,top
MK2,107.5325,-50.0,90.0,top
MK3,107.5325,-60.0,90.0,top
MK4,107.5325,-70.0,90.0,top
MK5,107.5325,-80.0,90.0,top
MK6,107.5325,-90.0,90.0,top
MK7,107.5325,-100.0,90.0,top
MK8,107.5325,-110.0,90.0,top
MK9,129.2,-117.4675,180.0,top
Q1,136.0,-118.8,180.0,top
R1,114.425,-73.6,180.0,top
R10,142.577,-65.885,180.0,top
R11,120.835,-91.5174,180.0,top
R12,115.21,-91.5174,0.0,top
R13,115.21,-107.3174,0.0,top
R14,142.577,-68.425,180.0,top
R15,120.81,-107.3174,180.0,top
R16,135.4625,-116.2,0.0,top
R17,120.66,-60.2,180.0,top
R18,142.577,-70.965,180.0,top
R19,111.0,-80.175,90.0,top
R2,114.425,-75.2,0.0,top
R21,120.81,-94.7174,180.0,top
R22,142.577,-73.505,180.0,top
R23,111.0,-90.175,90.0,top
R25,115.21,-94.7174,0.0,top
R26,142.577,-76.045,180.0,top
R27,111.0,-100.175,90.0,top
R29,115.21,-104.1174,0.0,top
R30,142.577,-78.585,180.0,top
R31,111.0,-110.175,90.0,top
R33,120.81,-104.1174,180.0,top
R34,142.577,-81.125,180.0,top
R35,115.06,-60.2,0.0,top
R36,115.035,-50.8,0.0,top
R37,120.66,-50.8,180.0,top
R38,111.0,-40.175,90.0,top
R39,111.0,-50.175,90.0,top
R40,111.0,-60.0,90.0,top
R41,111.0,-70.0,90.0,top
R5,120.66,-47.6,180.0,top
R6,142.577,-63.345,180.0,top
R7,115.06,-47.6,0.0,top
R8,115.06,-63.4,0.0,top
R9,120.66,-63.4,180.0,top
TP1,124.025,-67.225,0.0,top
TP2,132.6,-71.2,0.0,top
U1,128.4,-55.6,180.0,top
U2,117.86,-55.6,180.0,top
U3,128.47,-99.3174,180.0,top
U5,118.0,-99.4,180.0,top
